State Name,City Name,Year,Month,datetime,latitude,longitude,Road Type,Road Condition,Lighting Conditions,Weather Conditions,Traffic Control Presence,Driver Age,Driver Gender,driver_experience,Driver License Status,driver_speed_habit(km/h),Alcohol Involvement,Vehicle Type Involved,vehicle_condition,Accident Severity
Odisha,Cuttack-7,2022,April,01-04-2022 03:40,22.97060821,79.01058409,National Highway,Dry,Dusk,Foggy,Signs,65,Male,2 yr,Valid,141,No,Bus,medium,Minor
Chhattisgarh,Raipur-13,2019,December,28-12-2019 01:03,21.23900086,81.88883353,National Highway,Wet,Dark,Stormy,Police Checkpost,37,Male,12 yr,No license,98,No,Auto-Rickshaw,poor,Fatal
Madhya Pradesh,Ratlam,2022,February,19-04-2022 14:19,21.26915112,78.81640421,National Highway,Damaged,Daylight,Hazy,Signals,60,Male,21 yr,Valid,69,No,Two-Wheeler,good,Minor
Puducherry,North Town-27,2022,June,11-05-2022 11:36,18.67870177,70.16983608,National Highway,Dry,Dawn,Clear,Police Checkpost,46,Female,25 yr,Valid,23,Yes,Bus,good,Minor
Maharashtra,Mumbai,2019,March,04-01-2019 02:37,21.43435388,72.79944546,National Highway,Dry,Daylight,Stormy,Signs,56,Female,9 months,Valid,18,Yes,Truck,medium,Minor
Delhi,New Town-18,2019,August,21-10-2019 20:01,34.3802654,72.98755564,National Highway,Dry,Dusk,Stormy,Signs,39,Female,28 yr,Valid,99,Yes,Auto-Rickshaw,medium,Serious
Sikkim,North City-18,2019,June,01-02-2019 04:30,26.08940021,70.71080195,National Highway,Wet,Dusk,Stormy,Police Checkpost,74,Female,1 months,Valid,62,No,Two-Wheeler,bad,Serious
Goa,North Port-45,2020,July,04-03-2020 00:37,18.32858093,83.68646634,Urban Road,Dry,Dark,Rainy,Signs,65,Male,26 yr,Valid,139,No,Car,good,Minor
Maharashtra,Nagpur,2020,January,15-11-2020 22:52,21.10736545,76.6660112,Urban Road,Dry,Dark,Foggy,Signs,64,Female,11 months,Valid,93,Yes,Bus,medium,Fatal
Punjab,New District-38,2023,February,06-07-2023 02:26,31.17215423,73.93319463,Village Road,Wet,Daylight,Rainy,Police Checkpost,60,Male,27 yr,Expired,101,Yes,Truck,medium,Minor
Gujarat,Rajkot-2,2021,June,19-06-2021 06:52,23.02735043,79.00959688,National Highway,Under Construction,Dark,Stormy,Signals,70,Female,4 yr,Valid,120,No,Car,medium,Minor
Madhya Pradesh,Ratlam,2018,May,30-04-2018 14:50,22.22943332,80.79713329,Village Road,Dry,Dusk,Rainy,Signs,21,Female,1 yr,Expired,17,Yes,Car,poor,Minor
Andhra Pradesh,Nellore-2,2021,May,22-05-2021 15:12,22.96787802,79.04750602,State Highway,Dry,Daylight,Clear,Police Checkpost,23,Male,7 months,Valid,44,No,Cycle,bad,Fatal
Gujarat,Vadodara,2022,September,08-01-2022 22:06,22.8917189,72.41432095,State Highway,Dry,Daylight,Hazy,Signs,79,Female,6 months,Valid,90,Yes,Two-Wheeler,bad,Minor
Tamil Nadu,West Town-9,2023,February,02-12-2023 05:29,8.14002048,79.57779863,Village Road,Damaged,Dusk,Stormy,Signs,35,Male,22 yr,Expired,59,Yes,Truck,average,Minor
Nagaland,Kohima-46,2021,August,21-08-2021 13:19,22.99093932,78.96757009,Village Road,Dry,Daylight,Stormy,Signals,40,Female,9 months,Valid,113,No,Cycle,medium,Minor
Tripura,Agartala-74,2020,February,09-02-2020 19:00,23.01159156,78.98604486,Urban Road,Dry,Dawn,Clear,Police Checkpost,44,Male,4 months,Valid,141,No,Two-Wheeler,average,Minor
Assam,Central Town-37,2022,February,01-02-2022 18:25,24.22071535,80.34256202,Village Road,Dry,Daylight,Hazy,Police Checkpost,28,Female,19 yr,Valid,11,No,Two-Wheeler,average,Minor
Andhra Pradesh,Nellore,2018,April,06-10-2018 07:26,17.3082384,80.12706776,State Highway,Under Construction,Dusk,Rainy,Signals,53,Male,2 months,Valid,143,No,Two-Wheeler,average,Minor
Chhattisgarh,Rajnandgaon-23,2020,September,20-09-2020 03:24,21.31980719,81.85990628,Urban Road,Wet,Dawn,Clear,Police Checkpost,18,Male,12 yr,Valid,63,Yes,Car,good,Serious
Goa,North District-18,2020,June,05-09-2020 04:03,21.75994874,77.93209307,State Highway,Damaged,Dark,Clear,Signs,77,Female,7 yr,Valid,115,No,Pedestrian,medium,Minor
Rajasthan,Jaipur,2020,February,25-12-2020 02:37,26.34430765,69.85192585,State Highway,Dry,Dawn,Foggy,Signals,75,Male,16 yr,Valid,13,Yes,Two-Wheeler,poor,Minor
Andhra Pradesh,Hyderabad,2019,June,20-02-2019 02:06,16.60350427,83.74510011,National Highway,Wet,Daylight,Foggy,Signs,39,Female,2 months,Valid,63,No,Cycle,bad,Minor
Puducherry,East District-40,2021,October,06-11-2021 00:59,24.97987438,69.01649372,State Highway,Dry,Daylight,Rainy,Signs,46,Female,1 yr,Valid,53,Yes,Car,medium,Serious
Karnataka,Belgaum,2021,July,06-01-2021 22:13,12.06296762,76.76363293,Village Road,Dry,Dawn,Stormy,Police Checkpost,22,Male,16 yr,Valid,23,Yes,Pedestrian,medium,Minor
Karnataka,Mangaluru-3,2019,March,09-03-2019 17:11,23.01739398,79.04238605,Village Road,Wet,Dark,Hazy,Signs,39,Female,7 months,Valid,104,Yes,Auto-Rickshaw,average,Minor
Jharkhand,North Port-22,2018,June,06-03-2018 05:18,22.51931887,79.32723014,State Highway,Dry,Dusk,Clear,Police Checkpost,28,Male,26 yr,Expired,57,Yes,Car,good,Minor
Rajasthan,Bikaner,2019,June,12-04-2019 12:54,34.14757835,73.89438428,Village Road,Dry,Dawn,Hazy,Signals,61,Female,3 months,Valid,24,Yes,Two-Wheeler,medium,Serious
Assam,New Port-16,2022,September,02-10-2022 14:14,34.65552283,87.66581185,State Highway,Wet,Daylight,Hazy,Signs,28,Male,7 months,Expired,49,No,Bus,good,Minor
Tamil Nadu,Coimbatore-5,2021,April,22-04-2021 05:29,23.03714628,78.99382226,National Highway,Under Construction,Dusk,Clear,Police Checkpost,30,Male,4 yr,Valid,91,Yes,Auto-Rickshaw,good,Minor
Chandigarh,Central Port-49,2021,January,27-07-2021 11:17,28.16390035,91.19363466,Village Road,Wet,Dusk,Clear,Police Checkpost,51,Female,9 yr,Valid,120,Yes,Two-Wheeler,bad,Serious
West Bengal,West Port-1,2022,January,23-01-2022 03:53,33.27666626,76.12917004,State Highway,Dry,Dawn,Hazy,Signals,24,Male,8 months,Valid,62,No,Car,medium,Minor
Maharashtra,Aurangabad,2023,April,07-10-2023 04:51,19.56518065,78.28902947,Urban Road,Wet,Daylight,Foggy,Signs,74,Male,11 yr,Valid,33,Yes,Bus,poor,Minor
Andhra Pradesh,South City-45,2020,March,19-12-2020 02:49,16.68528381,78.65009033,Village Road,Wet,Dark,Stormy,Signals,61,Male,3 yr,Expired,133,No,Truck,bad,Minor
Rajasthan,Alwar,2020,March,04-11-2020 07:15,33.06189358,71.03266743,State Highway,Under Construction,Daylight,Foggy,Signs,37,Female,7 months,Expired,50,No,Bus,good,Serious
Tamil Nadu,Central Port-37,2021,May,10-01-2021 20:41,11.83829839,78.13867921,Urban Road,Dry,Dark,Stormy,Signals,48,Female,10 months,Valid,24,Yes,Cycle,good,Fatal
Bihar,New City-23,2023,March,23-11-2023 04:02,32.09551152,75.13416119,Urban Road,Dry,Dusk,Rainy,Signals,54,Female,5 yr,Expired,54,Yes,Truck,medium,Serious
Kerala,West City-5,2019,August,27-08-2019 14:50,16.08744697,82.61682856,State Highway,Wet,Daylight,Stormy,Police Checkpost,27,Male,2 months,Valid,74,No,Two-Wheeler,bad,Serious
Haryana,East City-7,2019,November,01-09-2019 11:20,28.77725282,76.74906188,Urban Road,Wet,Daylight,Stormy,Signals,69,Male,17 yr,Valid,98,Yes,Two-Wheeler,bad,Minor
Punjab,South District-8,2018,May,13-08-2018 16:04,29.77679172,73.99342433,Urban Road,Dry,Dawn,Foggy,Police Checkpost,23,Male,2 yr,Valid,80,Yes,Truck,bad,Minor
Andhra Pradesh,Tirupati,2020,August,22-12-2020 18:25,17.31882973,77.93420563,National Highway,Dry,Dawn,Stormy,Signs,29,Female,28 yr,Expired,18,Yes,Cycle,poor,Minor
Andhra Pradesh,New District-1,2022,June,11-02-2022 23:51,15.53434654,78.9819693,Urban Road,Dry,Dark,Hazy,Signs,38,Male,6 yr,Valid,97,No,Bus,medium,Serious
Mizoram,Aizawl-72,2021,December,28-12-2021 02:01,23.00235485,78.98906932,State Highway,Wet,Dusk,Hazy,Police Checkpost,32,Female,9 yr,No license,138,Yes,Bus,average,Fatal
Odisha,Cuttack-18,2023,December,20-12-2023 17:51,23.03069901,78.96266643,National Highway,Dry,Dusk,Rainy,Signs,46,Female,12 yr,Valid,145,No,Cycle,medium,Minor
Gujarat,Rajkot,2019,September,24-06-2019 16:55,22.02291151,74.00920809,Village Road,Wet,Dawn,Hazy,Police Checkpost,75,Female,9 months,Valid,72,Yes,Pedestrian,good,Serious
Tamil Nadu,Salem-14,2023,August,27-08-2023 01:59,23.02894277,78.97650701,Urban Road,Wet,Daylight,Rainy,Police Checkpost,45,Male,7 months,Valid,148,Yes,Bus,bad,Minor
Punjab,New District-34,2018,January,29-09-2018 02:49,30.6441533,73.52283768,State Highway,Wet,Daylight,Foggy,Signs,27,Female,8 months,No license,90,Yes,Two-Wheeler,average,Fatal
Jharkhand,Ranchi-89,2023,February,27-02-2023 20:29,23.04168585,79.00807013,National Highway,Under Construction,Dawn,Hazy,Signals,68,Male,4 yr,Expired,145,No,Car,bad,Fatal
Telangana,Khammam,2020,November,05-10-2020 22:30,17.40631849,79.02789788,National Highway,Dry,Dawn,Hazy,Signs,53,Male,2 months,Valid,42,No,Two-Wheeler,good,Minor
Karnataka,East Town-39,2023,July,03-07-2023 20:28,13.01231402,76.03975412,Village Road,Dry,Dawn,Rainy,Signals,51,Male,3 months,Valid,132,Yes,Auto-Rickshaw,average,Minor
West Bengal,Howrah-14,2021,June,06-06-2021 15:12,23.04075693,79.04208386,Urban Road,Under Construction,Dusk,Rainy,Signs,40,Female,12 yr,Valid,14,No,Bus,medium,Minor
Maharashtra,Solapur,2022,February,09-12-2022 12:14,21.9819256,76.96092558,Urban Road,Dry,Daylight,Foggy,Signals,76,Male,1 yr,Valid,50,Yes,Two-Wheeler,medium,Serious
Punjab,Ludhiana,2023,December,08-04-2023 09:33,30.86885556,75.93753236,Village Road,Wet,Dark,Stormy,Signs,39,Male,25 yr,Valid,37,Yes,Two-Wheeler,bad,Fatal
Maharashtra,New Town-22,2021,May,11-06-2021 21:24,16.82761951,77.551844,Village Road,Damaged,Daylight,Stormy,Signals,68,Male,21 yr,Expired,144,No,Cycle,good,Minor
Maharashtra,Solapur,2018,April,31-08-2018 03:28,19.3477504,74.09544311,State Highway,Wet,Daylight,Hazy,Signals,65,Female,4 months,Valid,81,Yes,Cycle,good,Serious
Haryana,Panipat,2023,May,19-10-2023 19:46,27.90257311,76.47520827,National Highway,Dry,Dawn,Rainy,Signs,70,Female,3 yr,Valid,21,Yes,Car,average,Fatal
Madhya Pradesh,Indore,2019,July,02-07-2019 13:34,24.04507417,76.37350961,Urban Road,Dry,Dusk,Clear,Signals,38,Male,1 months,Valid,42,Yes,Cycle,average,Minor
Jharkhand,West Town-45,2019,January,07-03-2019 23:45,17.67866792,82.33091428,Urban Road,Dry,Daylight,Foggy,Police Checkpost,43,Male,3 months,Expired,57,No,Truck,good,Minor
Rajasthan,Jodhpur,2021,October,10-01-2021 03:50,26.42342033,76.89649208,Urban Road,Damaged,Dark,Stormy,Police Checkpost,44,Female,6 months,Valid,71,Yes,Cycle,average,Minor
Rajasthan,Jaipur,2022,November,29-04-2022 11:54,28.564941,69.39015301,State Highway,Dry,Dawn,Stormy,Signals,77,Male,9 yr,Valid,46,Yes,Pedestrian,poor,Fatal
Madhya Pradesh,Jabalpur,2020,July,24-12-2020 02:20,21.61051706,76.48042077,Village Road,Dry,Dark,Foggy,Signs,50,Male,6 yr,Valid,108,Yes,Pedestrian,average,Minor
Rajasthan,Jaipur,2020,July,07-12-2020 13:38,30.84768898,75.40104767,Village Road,Dry,Dark,Hazy,Police Checkpost,72,Male,28 yr,Valid,113,Yes,Two-Wheeler,average,Minor
Odisha,Bhubaneswar-21,2021,July,11-07-2021 00:49,23.01857702,79.04388185,Urban Road,Under Construction,Dark,Hazy,Signs,59,Male,1 months,Expired,44,Yes,Bus,medium,Minor
Andhra Pradesh,Eluru,2020,October,02-08-2020 01:14,14.48592444,80.76447161,Urban Road,Dry,Daylight,Clear,Signals,42,Female,27 yr,Valid,110,Yes,Cycle,bad,Serious
West Bengal,West District-3,2021,July,25-03-2021 14:21,11.17202336,90.25570428,National Highway,Dry,Dusk,Stormy,Police Checkpost,54,Male,1 months,Valid,140,Yes,Two-Wheeler,good,Serious
Uttar Pradesh,Ghaziabad-9,2019,September,11-09-2019 16:27,26.89433705,80.99110507,State Highway,Wet,Dusk,Rainy,Signals,63,Female,2 yr,Valid,10,No,Two-Wheeler,average,Minor
Delhi,Dwarka-20,2021,March,12-03-2021 05:26,23.03556389,78.97296153,Village Road,Wet,Dusk,Clear,Signals,54,Female,10 yr,Valid,14,No,Auto-Rickshaw,bad,Serious
Odisha,North City-44,2020,September,25-03-2020 04:14,25.68186593,80.66823686,Village Road,Damaged,Dawn,Rainy,Signs,18,Male,3 yr,Valid,112,Yes,Truck,bad,Minor
Tamil Nadu,Madurai,2018,June,23-08-2018 22:14,12.73191488,79.34981161,National Highway,Wet,Dark,Rainy,Police Checkpost,74,Female,27 yr,Valid,36,No,Pedestrian,medium,Minor
Goa,Panaji-92,2018,October,14-10-2018 18:09,23.00609762,78.95782384,Village Road,Dry,Dawn,Clear,Signals,26,Male,4 yr,Expired,146,No,Bus,average,Fatal
Maharashtra,South Town-40,2020,September,18-10-2020 01:01,18.13363942,75.57494601,Urban Road,Damaged,Dawn,Hazy,Signs,79,Male,21 yr,Valid,24,No,Two-Wheeler,medium,Serious
Tripura,East Port-29,2023,August,19-03-2023 07:30,12.15443628,77.6399473,National Highway,Under Construction,Dark,Stormy,Signals,78,Male,19 yr,Valid,99,Yes,Truck,average,Minor
Haryana,Faridabad,2020,July,07-04-2020 04:00,28.7763364,76.43353222,State Highway,Wet,Dark,Stormy,Signs,37,Male,4 months,Valid,51,No,Pedestrian,medium,Minor
Delhi,East District-10,2021,November,23-03-2021 19:07,36.7339972,76.03787646,Village Road,Dry,Dawn,Rainy,Signals,49,Female,24 yr,Valid,133,No,Bus,bad,Fatal
Assam,Dibrugarh-19,2019,July,11-07-2019 06:28,22.95130185,79.04460791,Urban Road,Under Construction,Dawn,Clear,Signs,63,Male,5 yr,Valid,72,No,Truck,poor,Minor
Telangana,Warangal,2018,March,12-10-2018 10:37,15.72848719,81.65333794,National Highway,Wet,Dawn,Clear,Signals,33,Male,10 months,Valid,105,Yes,Bus,average,Serious
Meghalaya,South Town-9,2020,July,13-04-2020 14:02,20.85541465,76.97963003,State Highway,Wet,Dawn,Foggy,Signs,31,Male,28 yr,Valid,61,Yes,Two-Wheeler,medium,Fatal
Punjab,Amritsar,2022,November,05-05-2022 03:55,31.39433486,74.12747328,National Highway,Dry,Daylight,Rainy,Signals,60,Female,24 yr,No license,105,Yes,Two-Wheeler,average,Minor
Nagaland,Kohima-59,2020,June,03-06-2020 17:09,23.03506379,79.00827364,Urban Road,Dry,Daylight,Stormy,Police Checkpost,58,Female,11 yr,Valid,141,No,Cycle,good,Minor
Kerala,Central District-40,2018,October,04-11-2018 22:03,20.60596835,94.8237901,National Highway,Wet,Daylight,Clear,Police Checkpost,28,Female,2 months,Valid,38,No,Bus,bad,Serious
Puducherry,North Town-28,2023,May,29-03-2023 05:16,20.7452306,92.52696414,State Highway,Dry,Dawn,Hazy,Police Checkpost,54,Male,10 months,Valid,45,Yes,Two-Wheeler,good,Minor
Uttarakhand,East Port-42,2022,June,08-06-2022 08:49,21.81999487,70.7157852,National Highway,Dry,Dawn,Hazy,Police Checkpost,21,Female,9 yr,Valid,22,No,Bus,good,Minor
Haryana,Faridabad,2020,April,18-01-2020 01:32,27.41540272,77.51968158,National Highway,Wet,Dark,Rainy,Signals,72,Female,9 months,Valid,80,No,Cycle,average,Serious
Karnataka,Shimoga,2022,December,18-08-2022 10:25,16.77104089,77.38495881,National Highway,Dry,Dusk,Rainy,Signals,68,Male,2 months,Valid,95,Yes,Auto-Rickshaw,poor,Minor
Karnataka,Shimoga,2021,March,08-06-2021 21:39,13.82299185,75.15164961,State Highway,Wet,Daylight,Hazy,Signs,42,Female,10 months,No license,37,No,Cycle,good,Minor
Haryana,New City-38,2019,October,21-03-2019 17:59,27.77645745,77.23667472,Village Road,Wet,Dusk,Hazy,Signals,50,Male,4 months,Valid,75,Yes,Truck,poor,Fatal
Punjab,Patiala,2019,April,25-04-2019 00:34,30.99862144,75.26498423,Urban Road,Wet,Daylight,Clear,Signs,76,Female,11 yr,No license,54,Yes,Cycle,poor,Minor
Sikkim,South City-45,2020,February,15-02-2020 07:52,24.38167458,87.81395519,State Highway,Dry,Dark,Rainy,Police Checkpost,19,Male,2 yr,Expired,71,No,Bus,medium,Serious
Karnataka,Belgaum,2018,August,24-08-2018 19:02,12.35146067,74.10659171,Village Road,Damaged,Dusk,Hazy,Signs,26,Male,3 months,Valid,143,No,Truck,good,Minor
Assam,West City-26,2021,November,17-07-2021 04:36,9.58513722,85.89076331,Urban Road,Dry,Dark,Rainy,Signs,50,Male,3 months,Valid,37,Yes,Auto-Rickshaw,good,Serious
Gujarat,Central City-8,2022,December,18-04-2022 20:48,21.38864457,71.73813034,Village Road,Dry,Dawn,Foggy,Signs,39,Male,8 months,Valid,37,Yes,Car,average,Minor
Uttar Pradesh,Central Town-17,2021,November,12-07-2021 02:03,30.94916282,75.59576136,Village Road,Damaged,Dusk,Stormy,Police Checkpost,34,Male,6 yr,Valid,117,Yes,Two-Wheeler,average,Fatal
Andhra Pradesh,Hyderabad,2021,February,19-06-2021 17:17,15.94778936,82.79923343,Village Road,Dry,Daylight,Clear,Signals,75,Male,22 yr,No license,53,Yes,Cycle,poor,Minor
Madhya Pradesh,Bhopal-8,2021,June,19-06-2021 10:57,23.00414349,78.96256494,State Highway,Damaged,Dawn,Foggy,Signals,24,Male,7 yr,Valid,93,Yes,Pedestrian,poor,Serious
Haryana,Faridabad-12,2020,April,10-04-2020 13:29,22.99011992,78.95865807,Urban Road,Dry,Dusk,Rainy,Signals,56,Female,3 months,Valid,39,Yes,Cycle,medium,Minor
Haryana,Faridabad,2019,May,16-10-2019 08:22,29.34905237,77.01823008,State Highway,Wet,Daylight,Foggy,Signals,37,Male,28 yr,Valid,84,Yes,Two-Wheeler,average,Fatal
Assam,New City-13,2021,December,24-06-2021 19:42,31.14077953,74.96475782,Urban Road,Wet,Dawn,Stormy,Signs,30,Male,10 months,Valid,137,No,Pedestrian,poor,Fatal
Puducherry,Puducherry-43,2021,June,10-06-2021 03:26,22.96840587,79.00244208,Urban Road,Under Construction,Dark,Foggy,Signs,39,Male,10 yr,Expired,101,Yes,Bus,poor,Minor
Madhya Pradesh,Gwalior,2021,January,31-08-2021 02:18,22.44028328,76.10534867,State Highway,Dry,Dusk,Stormy,Police Checkpost,41,Male,1 yr,Valid,138,Yes,Two-Wheeler,good,Minor
Gujarat,Junagadh,2021,August,12-10-2021 08:53,23.7618564,74.29535644,Urban Road,Damaged,Dark,Clear,Signs,23,Female,10 months,Expired,130,Yes,Bus,good,Minor
Andhra Pradesh,Visakhapatnam,2018,March,30-09-2018 18:54,15.77288238,84.61361757,State Highway,Wet,Dawn,Hazy,Police Checkpost,57,Male,4 months,Valid,36,Yes,Cycle,good,Minor
Odisha,Cuttack-9,2022,March,20-03-2022 17:14,22.99075118,78.98309075,Urban Road,Damaged,Dawn,Hazy,Police Checkpost,56,Female,3 yr,Valid,130,Yes,Car,good,Serious
Andhra Pradesh,Guntur-17,2019,July,28-07-2019 15:47,22.99839304,79.04577579,National Highway,Dry,Dusk,Hazy,Signals,47,Female,1 yr,Valid,125,No,Auto-Rickshaw,medium,Serious
Tripura,Agartala-69,2018,March,21-03-2018 22:38,23.00665639,79.03860092,State Highway,Damaged,Dark,Rainy,Signs,41,Male,15 yr,Expired,12,Yes,Pedestrian,good,Serious
Karnataka,South District-9,2020,April,05-02-2020 01:51,14.01629004,76.74115924,National Highway,Wet,Dusk,Foggy,Signs,48,Male,20 yr,No license,112,Yes,Bus,poor,Fatal
