State Name,City Name,Year,Month,datetime,latitude,longitude,Road Type,Road Condition,Lighting Conditions,Weather Conditions,Traffic Control Presence,Driver Age,Driver Gender,driver_experience,Driver License Status,driver_speed_habit(km/h),Alcohol Involvement,Vehicle Type Involved,vehicle_condition,Accident Severity,hour,day_of_week,is_weekend,is_rush_hour,weather_score,road_type_score,road_cond_score,age_score,license_score,alcohol_flag,experience_score,vehicle_condition_score,driver_speed_score,State Name_enc,City Name_enc,Accident Severity_enc,Vehicle Type Involved_enc,Lighting Conditions_enc,Traffic Control Presence_enc,target
Haryana,Faridabad,2020,April,2020-06-21 17:02:00,29.7062325,76.77196797,Village Road,Dry,Dusk,Hazy,Signals,76,Male,2 months,Valid,97,Yes,Two-Wheeler,average,Minor,17,6,1,1,2,2,1,5,1.0,1,5,3,4,9,1217,1,6,3,1,0
Maharashtra,Solapur,2020,May,2020-05-10 11:14:00,20.95357973,75.72204197,State Highway,Dry,Dark,Clear,Signals,68,Male,24 yr,Valid,47,Yes,Two-Wheeler,average,Minor,11,6,1,0,1,4,1,1,1.0,1,1,3,2,16,3554,1,6,0,1,0
Uttar Pradesh,North City-45,2023,May,2023-01-29 05:08:00,20.12478625,81.3729805,Village Road,Dry,Daylight,Stormy,Police Checkpost,46,Male,5 yr,Valid,139,No,Car,good,Fatal,5,6,1,0,5,2,1,2,1.0,0,1,1,5,29,2737,0,2,2,0,2
Maharashtra,Nashik,2021,August,2021-03-20 16:44:00,19.03231104,79.39536592,Village Road,Dry,Dark,Hazy,Signals,22,Female,16 yr,Valid,30,Yes,Two-Wheeler,medium,Minor,16,5,1,0,2,2,1,3,1.0,1,1,3,1,16,2404,1,6,0,1,0
Telangana,Hyderabad-75,2019,May,2019-05-02 23:37:00,22.97534369,78.99925088,National Highway,Dry,Daylight,Stormy,Signs,18,Male,8 months,No license,67,No,Car,medium,Minor,23,3,0,0,5,5,1,4,3.0,0,4,3,3,27,1556,1,2,2,2,0
Karnataka,South Town-18,2021,December,2021-03-18 15:48:00,18.07021779,76.84639504,Village Road,Dry,Dark,Foggy,Police Checkpost,22,Female,11 yr,Valid,31,Yes,Car,average,Serious,15,3,0,0,4,2,1,3,1.0,1,1,3,1,13,3714,2,2,0,0,1
Madhya Pradesh,Gwalior-10,2023,January,2023-01-24 23:47:00,22.99427171,79.04182365,State Highway,Under Construction,Daylight,Foggy,Signals,21,Male,9 months,Valid,98,Yes,Pedestrian,average,Serious,23,1,0,0,4,4,5,3,1.0,1,4,3,4,15,1377,2,4,2,1,1
Karnataka,Kolar,2021,September,2021-10-03 15:25:00,13.29030225,76.4556796,Urban Road,Dry,Dusk,Hazy,Police Checkpost,74,Female,27 yr,Valid,58,Yes,Two-Wheeler,good,Serious,15,6,1,0,2,3,1,1,1.0,1,1,1,2,13,2047,2,6,3,0,1
Himachal Pradesh,Shimla-2,2023,December,2023-12-03 05:36:00,31.11391388,77.21966427,Village Road,Under Construction,Dark,Clear,Signals,63,Male,3 yr,Valid,68,Yes,Auto-Rickshaw,poor,Minor,5,6,1,0,1,2,5,2,1.0,1,2,5,3,10,3503,1,0,0,1,0
Punjab,Patiala-15,2018,July,2018-07-21 05:06:00,22.9991283,79.02867239,Urban Road,Wet,Dark,Clear,Signs,24,Female,4 months,Valid,24,Yes,Truck,medium,Minor,5,5,1,0,1,3,3,3,1.0,1,5,3,1,23,3036,1,5,0,2,0
Haryana,Gurgaon,2023,March,2023-04-22 10:53:00,27.79882976,76.81362915,Urban Road,Wet,Dawn,Stormy,Signals,24,Female,8 yr,Expired,60,No,Bus,good,Minor,10,5,1,0,5,3,3,3,2.0,0,1,1,2,9,1328,1,1,1,1,0
Andhra Pradesh,Kakinada,2020,February,2020-11-26 16:06:00,15.48428948,81.61980544,National Highway,Dry,Daylight,Foggy,Signs,64,Female,29 yr,Expired,117,Yes,Cycle,good,Fatal,16,3,0,0,4,5,1,2,2.0,1,1,1,5,0,1905,0,3,2,2,2
Madhya Pradesh,New Town-5,2018,March,2018-09-24 14:52:00,26.16320326,82.31141157,State Highway,Damaged,Dark,Rainy,Police Checkpost,64,Female,8 yr,No license,64,No,Two-Wheeler,average,Serious,14,0,0,0,4,4,4,2,3.0,0,1,3,3,15,2660,2,6,0,0,1
Gujarat,East Port-2,2019,April,2019-04-03 18:47:00,20.66837231,69.92231918,National Highway,Wet,Dusk,Foggy,Police Checkpost,55,Male,29 yr,Valid,73,Yes,Car,poor,Minor,18,2,0,1,4,5,3,2,1.0,1,1,5,3,8,1127,1,2,3,0,0
Andhra Pradesh,Kurnool-6,2019,June,2019-06-02 19:12:00,23.02650895,78.95876274,Urban Road,Damaged,Daylight,Clear,Signs,67,Male,8 yr,Expired,140,Yes,Auto-Rickshaw,medium,Serious,19,6,1,1,1,3,4,1,2.0,1,1,3,5,0,2147,2,0,2,2,1
Odisha,Berhampur-22,2020,February,2020-02-03 14:05:00,22.96867767,78.96436082,State Highway,Under Construction,Dawn,Clear,Police Checkpost,33,Female,5 yr,Valid,60,Yes,Cycle,poor,Minor,14,0,0,0,1,4,5,3,1.0,1,1,5,2,21,423,1,3,1,0,0
Telangana,Karimnagar,2022,September,2022-09-04 06:43:00,18.39564602,79.20264402,Urban Road,Wet,Dark,Foggy,Signals,76,Male,7 months,Valid,144,Yes,Truck,poor,Serious,6,6,1,0,4,3,3,5,1.0,1,4,5,5,27,1917,2,5,0,1,1
Maharashtra,New District-30,2021,August,2021-05-16 10:36:00,20.06335944,73.4261814,State Highway,Wet,Dawn,Rainy,Police Checkpost,75,Female,20 yr,Valid,30,Yes,Two-Wheeler,poor,Fatal,10,6,1,0,4,4,3,5,1.0,1,1,5,1,16,2541,0,6,1,0,2
Maharashtra,Nagpur,2023,August,2023-10-19 19:59:00,20.99686444,75.70321215,Village Road,Under Construction,Dark,Stormy,Police Checkpost,64,Male,6 months,Valid,82,Yes,Two-Wheeler,good,Minor,19,3,0,1,5,2,5,2,1.0,1,4,1,4,16,2340,1,6,0,0,0
Tamil Nadu,Tiruchirappalli,2019,October,2019-08-17 13:16:00,8.75112269,77.90135834,Urban Road,Under Construction,Dawn,Foggy,Signs,79,Female,8 months,Valid,27,Yes,Two-Wheeler,poor,Minor,13,5,1,0,4,3,5,5,1.0,1,4,5,1,26,3864,1,6,1,2,0
Odisha,Cuttack-7,2022,April,2022-04-01 03:40:00,22.97060821,79.01058409,National Highway,Dry,Dusk,Foggy,Signs,65,Male,2 yr,Valid,141,No,Bus,medium,Minor,3,4,0,0,4,5,1,1,1.0,0,2,3,5,21,852,1,1,3,2,0
Chhattisgarh,Raipur-13,2019,December,2019-12-28 01:03:00,21.23900086,81.88883353,National Highway,Wet,Dark,Stormy,Police Checkpost,37,Male,12 yr,No license,98,No,Auto-Rickshaw,poor,Fatal,1,5,1,0,5,5,3,3,3.0,0,1,5,4,5,3211,0,0,0,0,2
Madhya Pradesh,Ratlam,2022,February,2022-04-19 14:19:00,21.26915112,78.81640421,National Highway,Damaged,Daylight,Hazy,Signals,60,Male,21 yr,Valid,69,No,Two-Wheeler,good,Minor,14,1,0,0,2,5,4,2,1.0,0,1,1,3,15,3367,1,6,2,1,0
Puducherry,North Town-27,2022,June,2022-05-11 11:36:00,18.67870177,70.16983608,National Highway,Dry,Dawn,Clear,Police Checkpost,46,Female,25 yr,Valid,23,Yes,Bus,good,Minor,11,2,0,0,1,5,1,2,1.0,1,1,1,1,22,2867,1,1,1,0,0
Maharashtra,Mumbai,2019,March,2019-01-04 02:37:00,21.43435388,72.79944546,National Highway,Dry,Daylight,Stormy,Signs,56,Female,9 months,Valid,18,Yes,Truck,medium,Minor,2,4,0,0,5,5,1,2,1.0,1,4,3,1,16,2294,1,5,2,2,0
Delhi,New Town-18,2019,August,2019-10-21 20:01:00,34.3802654,72.98755564,National Highway,Dry,Dusk,Stormy,Signs,39,Female,28 yr,Valid,99,Yes,Auto-Rickshaw,medium,Serious,20,0,0,0,5,5,1,3,1.0,1,1,3,4,6,2626,2,0,3,2,1
Sikkim,North City-18,2019,June,2019-02-01 04:30:00,26.08940021,70.71080195,National Highway,Wet,Dusk,Stormy,Police Checkpost,74,Female,1 months,Valid,62,No,Two-Wheeler,bad,Serious,4,4,0,0,5,5,3,1,1.0,0,5,5,3,25,2708,2,6,3,0,1
Goa,North Port-45,2020,July,2020-03-04 00:37:00,18.32858093,83.68646634,Urban Road,Dry,Dark,Rainy,Signs,65,Male,26 yr,Valid,139,No,Car,good,Minor,0,2,0,0,4,3,1,1,1.0,0,1,1,5,7,2837,1,2,0,2,0
Maharashtra,Nagpur,2020,January,2020-11-15 22:52:00,21.10736545,76.6660112,Urban Road,Dry,Dark,Foggy,Signs,64,Female,11 months,Valid,93,Yes,Bus,medium,Fatal,22,6,1,0,4,3,1,2,1.0,1,4,3,4,16,2340,0,1,0,2,2
Punjab,New District-38,2023,February,2023-07-06 02:26:00,31.17215423,73.93319463,Village Road,Wet,Daylight,Rainy,Police Checkpost,60,Male,27 yr,Expired,101,Yes,Truck,medium,Minor,2,3,0,0,4,2,3,2,2.0,1,1,3,5,23,2549,1,5,2,0,0
Gujarat,Rajkot-2,2021,June,2021-06-19 06:52:00,23.02735043,79.00959688,National Highway,Under Construction,Dark,Stormy,Signals,70,Female,4 yr,Valid,120,No,Car,medium,Minor,6,5,1,0,5,5,5,1,1.0,0,2,3,5,8,3241,1,2,0,1,0
Madhya Pradesh,Ratlam,2018,May,2018-04-30 14:50:00,22.22943332,80.79713329,Village Road,Dry,Dusk,Rainy,Signs,21,Female,1 yr,Expired,17,Yes,Car,poor,Minor,14,0,0,0,4,2,1,3,2.0,1,3,5,1,15,3367,1,2,3,2,0
Andhra Pradesh,Nellore-2,2021,May,2021-05-22 15:12:00,22.96787802,79.04750602,State Highway,Dry,Daylight,Clear,Police Checkpost,23,Male,7 months,Valid,44,No,Cycle,bad,Fatal,15,5,1,0,1,4,1,3,1.0,0,4,5,2,0,2424,0,3,2,0,2
Gujarat,Vadodara,2022,September,2022-01-08 22:06:00,22.8917189,72.41432095,State Highway,Dry,Daylight,Hazy,Signs,79,Female,6 months,Valid,90,Yes,Two-Wheeler,bad,Minor,22,5,1,0,2,4,1,5,1.0,1,4,5,4,8,3944,1,6,2,2,0
Tamil Nadu,West Town-9,2023,February,2023-12-02 05:29:00,8.14002048,79.57779863,Village Road,Damaged,Dusk,Stormy,Signs,35,Male,22 yr,Expired,59,Yes,Truck,average,Minor,5,5,1,0,5,2,4,3,2.0,1,1,3,2,26,4222,1,5,3,2,0
Nagaland,Kohima-46,2021,August,2021-08-21 13:19:00,22.99093932,78.96757009,Village Road,Dry,Daylight,Stormy,Signals,40,Female,9 months,Valid,113,No,Cycle,medium,Minor,13,5,1,0,5,2,1,3,1.0,0,4,3,5,20,1988,1,3,2,1,0
Tripura,Agartala-74,2020,February,2020-02-09 19:00:00,23.01159156,78.98604486,Urban Road,Dry,Dawn,Clear,Police Checkpost,44,Male,4 months,Valid,141,No,Two-Wheeler,average,Minor,19,6,1,1,1,3,1,3,1.0,0,5,3,5,28,71,1,6,1,0,0
Assam,Central Town-37,2022,February,2022-02-01 18:25:00,24.22071535,80.34256202,Village Road,Dry,Daylight,Hazy,Police Checkpost,28,Female,19 yr,Valid,11,No,Two-Wheeler,average,Minor,18,1,0,1,2,2,1,3,1.0,0,1,3,1,2,700,1,6,2,0,0
Andhra Pradesh,Nellore,2018,April,2018-10-06 07:26:00,17.3082384,80.12706776,State Highway,Under Construction,Dusk,Rainy,Signals,53,Male,2 months,Valid,143,No,Two-Wheeler,average,Minor,7,5,1,1,4,4,5,2,1.0,0,5,3,5,0,2415,1,6,3,1,0
Chhattisgarh,Rajnandgaon-23,2020,September,2020-09-20 03:24:00,21.31980719,81.85990628,Urban Road,Wet,Dawn,Clear,Police Checkpost,18,Male,12 yr,Valid,63,Yes,Car,good,Serious,3,6,1,0,1,3,3,4,1.0,1,1,1,3,5,3265,2,2,1,0,1
Goa,North District-18,2020,June,2020-09-05 04:03:00,21.75994874,77.93209307,State Highway,Damaged,Dark,Clear,Signs,77,Female,7 yr,Valid,115,No,Pedestrian,medium,Minor,4,5,1,0,1,4,4,5,1.0,0,1,3,5,7,2757,1,4,0,2,0
Rajasthan,Jaipur,2020,February,2020-12-25 02:37:00,26.34430765,69.85192585,State Highway,Dry,Dawn,Foggy,Signals,75,Male,16 yr,Valid,13,Yes,Two-Wheeler,poor,Minor,2,4,0,0,4,4,1,5,1.0,1,1,5,1,24,1776,1,6,1,1,0
Andhra Pradesh,Hyderabad,2019,June,2019-02-20 02:06:00,16.60350427,83.74510011,National Highway,Wet,Daylight,Foggy,Signs,39,Female,2 months,Valid,63,No,Cycle,bad,Minor,2,2,0,0,4,5,3,3,1.0,0,5,5,3,0,1484,1,3,2,2,0
Puducherry,East District-40,2021,October,2021-11-06 00:59:00,24.97987438,69.01649372,State Highway,Dry,Daylight,Rainy,Signs,46,Female,1 yr,Valid,53,Yes,Car,medium,Serious,0,5,1,0,4,4,1,2,1.0,1,3,3,2,22,1100,2,2,2,2,1
Karnataka,Belgaum,2021,July,2021-01-06 22:13:00,12.06296762,76.76363293,Village Road,Dry,Dawn,Stormy,Police Checkpost,22,Male,16 yr,Valid,23,Yes,Pedestrian,medium,Minor,22,2,0,0,5,2,1,3,1.0,1,1,3,1,13,389,1,4,1,0,0
Karnataka,Mangaluru-3,2019,March,2019-03-09 17:11:00,23.01739398,79.04238605,Village Road,Wet,Dark,Hazy,Signs,39,Female,7 months,Valid,104,Yes,Auto-Rickshaw,average,Minor,17,5,1,1,2,2,3,3,1.0,1,4,3,5,13,2251,1,0,0,2,0
Jharkhand,North Port-22,2018,June,2018-03-06 05:18:00,22.51931887,79.32723014,State Highway,Dry,Dusk,Clear,Police Checkpost,28,Male,26 yr,Expired,57,Yes,Car,good,Minor,5,1,0,0,1,4,1,3,2.0,1,1,1,2,12,2812,1,2,3,0,0
Rajasthan,Bikaner,2019,June,2019-04-12 12:54:00,34.14757835,73.89438428,Village Road,Dry,Dawn,Hazy,Signals,61,Female,3 months,Valid,24,Yes,Two-Wheeler,medium,Serious,12,4,0,0,2,2,1,2,1.0,1,5,3,1,24,487,2,6,1,1,1
Assam,New Port-16,2022,September,2022-10-02 14:14:00,34.65552283,87.66581185,State Highway,Wet,Daylight,Hazy,Signs,28,Male,7 months,Expired,49,No,Bus,good,Minor,14,6,1,0,2,4,3,3,2.0,0,4,1,2,2,2575,1,1,2,2,0
Tamil Nadu,Coimbatore-5,2021,April,2021-04-22 05:29:00,23.03714628,78.99382226,National Highway,Under Construction,Dusk,Clear,Police Checkpost,30,Male,4 yr,Valid,91,Yes,Auto-Rickshaw,good,Minor,5,3,0,0,1,5,5,3,1.0,1,2,1,4,26,827,1,0,3,0,0
Chandigarh,Central Port-49,2021,January,2021-07-27 11:17:00,28.16390035,91.19363466,Village Road,Wet,Dusk,Clear,Police Checkpost,51,Female,9 yr,Valid,120,Yes,Two-Wheeler,bad,Serious,11,1,0,0,1,2,3,2,1.0,1,1,5,5,4,663,2,6,3,0,1
West Bengal,West Port-1,2022,January,2022-01-23 03:53:00,33.27666626,76.12917004,State Highway,Dry,Dawn,Hazy,Signals,24,Male,8 months,Valid,62,No,Car,medium,Minor,3,6,1,0,2,4,1,3,1.0,0,4,3,3,31,4125,1,2,1,1,0
Maharashtra,Aurangabad,2023,April,2023-10-07 04:51:00,19.56518065,78.28902947,Urban Road,Wet,Daylight,Foggy,Signs,74,Male,11 yr,Valid,33,Yes,Bus,poor,Minor,4,5,1,0,4,3,3,1,1.0,1,1,5,1,16,322,1,1,2,2,0
Andhra Pradesh,South City-45,2020,March,2020-12-19 02:49:00,16.68528381,78.65009033,Village Road,Wet,Dark,Stormy,Signals,61,Male,3 yr,Expired,133,No,Truck,bad,Minor,2,5,1,0,5,2,3,2,2.0,0,2,5,5,0,3594,1,5,0,1,0
Rajasthan,Alwar,2020,March,2020-11-04 07:15:00,33.06189358,71.03266743,State Highway,Under Construction,Daylight,Foggy,Signs,37,Female,7 months,Expired,50,No,Bus,good,Serious,7,2,0,1,4,4,5,3,2.0,0,4,1,2,24,222,2,1,2,2,1
Tamil Nadu,Central Port-37,2021,May,2021-01-10 20:41:00,11.83829839,78.13867921,Urban Road,Dry,Dark,Stormy,Signals,48,Female,10 months,Valid,24,Yes,Cycle,good,Fatal,20,6,1,0,5,3,1,2,1.0,1,4,1,1,26,650,0,3,0,1,2
Bihar,New City-23,2023,March,2023-11-23 04:02:00,32.09551152,75.13416119,Urban Road,Dry,Dusk,Rainy,Signals,54,Female,5 yr,Expired,54,Yes,Truck,medium,Serious,4,3,0,0,4,3,1,2,2.0,1,1,3,2,3,2447,2,5,3,1,1
Kerala,West City-5,2019,August,2019-08-27 14:50:00,16.08744697,82.61682856,State Highway,Wet,Daylight,Stormy,Police Checkpost,27,Male,2 months,Valid,74,No,Two-Wheeler,bad,Serious,14,1,0,0,5,4,3,3,1.0,0,5,5,3,14,4069,2,6,2,0,1
Haryana,East City-7,2019,November,2019-09-01 11:20:00,28.77725282,76.74906188,Urban Road,Wet,Daylight,Stormy,Signals,69,Male,17 yr,Valid,98,Yes,Two-Wheeler,bad,Minor,11,6,1,0,5,3,3,1,1.0,1,1,5,4,9,1063,1,6,2,1,0
Punjab,South District-8,2018,May,2018-08-13 16:04:00,29.77679172,73.99342433,Urban Road,Dry,Dawn,Foggy,Police Checkpost,23,Male,2 yr,Valid,80,Yes,Truck,bad,Minor,16,0,0,0,4,3,1,3,1.0,1,2,5,3,23,3653,1,5,1,0,0
Andhra Pradesh,Tirupati,2020,August,2020-12-22 18:25:00,17.31882973,77.93420563,National Highway,Dry,Dawn,Stormy,Signs,29,Female,28 yr,Expired,18,Yes,Cycle,poor,Minor,18,1,0,1,5,5,1,3,2.0,1,1,5,1,0,3892,1,3,1,2,0
Andhra Pradesh,New District-1,2022,June,2022-02-11 23:51:00,15.53434654,78.9819693,Urban Road,Dry,Dark,Hazy,Signs,38,Male,6 yr,Valid,97,No,Bus,medium,Serious,23,4,0,0,2,3,1,3,1.0,0,1,3,4,0,2518,2,1,0,2,1
Mizoram,Aizawl-72,2021,December,2021-12-28 02:01:00,23.00235485,78.98906932,State Highway,Wet,Dusk,Hazy,Police Checkpost,32,Female,9 yr,No license,138,Yes,Bus,average,Fatal,2,1,0,0,2,4,3,3,3.0,1,1,3,5,19,175,0,1,3,0,2
Odisha,Cuttack-18,2023,December,2023-12-20 17:51:00,23.03069901,78.96266643,National Highway,Dry,Dusk,Rainy,Signs,46,Female,12 yr,Valid,145,No,Cycle,medium,Minor,17,2,0,1,4,5,1,2,1.0,0,1,3,5,21,841,1,3,3,2,0
Gujarat,Rajkot,2019,September,2019-06-24 16:55:00,22.02291151,74.00920809,Village Road,Wet,Dawn,Hazy,Police Checkpost,75,Female,9 months,Valid,72,Yes,Pedestrian,good,Serious,16,0,0,0,2,2,3,5,1.0,1,4,1,3,8,3230,2,4,1,0,1
Tamil Nadu,Salem-14,2023,August,2023-08-27 01:59:00,23.02894277,78.97650701,Urban Road,Wet,Daylight,Rainy,Police Checkpost,45,Male,7 months,Valid,148,Yes,Bus,bad,Minor,1,6,1,0,4,3,3,2,1.0,1,4,5,5,26,3460,1,1,2,0,0
Punjab,New District-34,2018,January,2018-09-29 02:49:00,30.6441533,73.52283768,State Highway,Wet,Daylight,Foggy,Signs,27,Female,8 months,No license,90,Yes,Two-Wheeler,average,Fatal,2,5,1,0,4,4,3,3,3.0,1,4,3,4,23,2545,0,6,2,2,2
Jharkhand,Ranchi-89,2023,February,2023-02-27 20:29:00,23.04168585,79.00807013,National Highway,Under Construction,Dawn,Hazy,Signals,68,Male,4 yr,Expired,145,No,Car,bad,Fatal,20,0,0,0,2,5,5,1,2.0,0,2,5,5,12,3360,0,2,1,1,2
Telangana,Khammam,2020,November,2020-10-05 22:30:00,17.40631849,79.02789788,National Highway,Dry,Dawn,Hazy,Signs,53,Male,2 months,Valid,42,No,Two-Wheeler,good,Minor,22,0,0,0,2,5,1,2,1.0,0,5,1,2,27,1919,1,6,1,2,0
Karnataka,East Town-39,2023,July,2023-07-03 20:28:00,13.01231402,76.03975412,Village Road,Dry,Dawn,Rainy,Signals,51,Male,3 months,Valid,132,Yes,Auto-Rickshaw,average,Minor,20,0,0,0,4,2,1,2,1.0,1,5,3,5,13,1198,1,0,1,1,0
West Bengal,Howrah-14,2021,June,2021-06-06 15:12:00,23.04075693,79.04208386,Urban Road,Under Construction,Dusk,Rainy,Signs,40,Female,12 yr,Valid,14,No,Bus,medium,Minor,15,6,1,0,4,3,5,3,1.0,0,1,3,1,31,1453,1,1,3,2,0
Maharashtra,Solapur,2022,February,2022-12-09 12:14:00,21.9819256,76.96092558,Urban Road,Dry,Daylight,Foggy,Signals,76,Male,1 yr,Valid,50,Yes,Two-Wheeler,medium,Serious,12,4,0,0,4,3,1,5,1.0,1,3,3,2,16,3554,2,6,2,1,1
Punjab,Ludhiana,2023,December,2023-04-08 09:33:00,30.86885556,75.93753236,Village Road,Wet,Dark,Stormy,Signs,39,Male,25 yr,Valid,37,Yes,Two-Wheeler,bad,Fatal,9,5,1,1,5,2,3,3,1.0,1,1,5,1,23,2161,0,6,0,2,2
Maharashtra,New Town-22,2021,May,2021-06-11 21:24:00,16.82761951,77.551844,Village Road,Damaged,Daylight,Stormy,Signals,68,Male,21 yr,Expired,144,No,Cycle,good,Minor,21,4,0,0,5,2,4,1,2.0,0,1,1,5,16,2631,1,3,2,1,0
Maharashtra,Solapur,2018,April,2018-08-31 03:28:00,19.3477504,74.09544311,State Highway,Wet,Daylight,Hazy,Signals,65,Female,4 months,Valid,81,Yes,Cycle,good,Serious,3,4,0,0,2,4,3,1,1.0,1,5,1,4,16,3554,2,3,2,1,1
Haryana,Panipat,2023,May,2023-10-19 19:46:00,27.90257311,76.47520827,National Highway,Dry,Dawn,Rainy,Signs,70,Female,3 yr,Valid,21,Yes,Car,average,Fatal,19,3,0,1,4,5,1,1,1.0,1,2,3,1,9,3007,0,2,1,2,2
Madhya Pradesh,Indore,2019,July,2019-07-02 13:34:00,24.04507417,76.37350961,Urban Road,Dry,Dusk,Clear,Signals,38,Male,1 months,Valid,42,Yes,Cycle,average,Minor,13,1,0,0,1,3,1,3,1.0,1,5,3,2,15,1663,1,3,3,1,0
Jharkhand,West Town-45,2019,January,2019-03-07 23:45:00,17.67866792,82.33091428,Urban Road,Dry,Daylight,Foggy,Police Checkpost,43,Male,3 months,Expired,57,No,Truck,good,Minor,23,3,0,0,4,3,1,3,2.0,0,5,1,2,12,4212,1,5,2,0,0
